Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur

"""2010 SLOVENIJA"",""2010 Pomurska"",""2010 Podravska"",""2010 Koroška"",""2010 Savinjska"",""2010 Zasavska"",""2010 Posavska"",""2010 Jugovzhodna Slovenija"",""2010 Osrednjeslovenska"",""2010 Gorenjska"",""2010 Primorsko-notranjska"",""2010 Goriška"",""2010 Obalno-kraška"",""2011 SLOVENIJA"",""2011 Pomurska"",""2011 Podravska"",""2011 Koroška"",""2011 Savinjska"",""2011 Zasavska"",""2011 Posavska"",""2011 Jugovzhodna Slovenija"",""2011 Osrednjeslovenska"",""2011 Gorenjska"",""2011 Primorsko-notranjska"",""2011 Goriška"",""2011 Obalno-kraška"",""2012 SLOVENIJA"",""2012 Pomurska"",""2012 Podravska"",""2012 Koroška"",""2012 Savinjska"",""2012 Zasavska"",""2012 Posavska"",""2012 Jugovzhodna Slovenija"",""2012 Osrednjeslovenska"",""2012 Gorenjska"",""2012 Primorsko-notranjska"",""2012 Goriška"",""2012 Obalno-kraška"",""2013 SLOVENIJA"",""2013 Pomurska"",""2013 Podravska"",""2013 Koroška"",""2013 Savinjska"",""2013 Zasavska"",""2013 Posavska"",""2013 Jugovzhodna Slovenija"",""2013 Osrednjeslovenska"",""2013 Gorenjska"",""2013 Primorsko-notranjska"",""2013 Goriška"",""2013 Obalno-kraška"",""2014 SLOVENIJA"",""2014 Pomurska"",""2014 Podravska"",""2014 Koroška"",""2014 Savinjska"",""2014 Zasavska"",""2014 Posavska"",""2014 Jugovzhodna Slovenija"",""2014 Osrednjeslovenska"",""2014 Gorenjska"",""2014 Primorsko-notranjska"",""2014 Goriška"",""2014 Obalno-kraška"",""2015 SLOVENIJA"",""2015 Pomurska"",""2015 Podravska"",""2015 Koroška"",""2015 Savinjska"",""2015 Zasavska"",""2015 Posavska"",""2015 Jugovzhodna Slovenija"",""2015 Osrednjeslovenska"",""2015 Gorenjska"",""2015 Primorsko-notranjska"",""2015 Goriška"",""2015 Obalno-kraška"",""2016 SLOVENIJA"",""2016 Pomurska"",""2016 Podravska"",""2016 Koroška"",""2016 Savinjska"",""2016 Zasavska"",""2016 Posavska"",""2016 Jugovzhodna Slovenija"",""2016 Osrednjeslovenska"",""2016 Gorenjska"",""2016 Primorsko-notranjska"",""2016 Goriška"",""2016 Obalno-kraška"",""2017 SLOVENIJA"",""2017 Pomurska"",""2017 Podravska"",""2017 Koroška"",""2017 Savinjska"",""2017 Zasavska"",""2017 Posavska"",""2017 Jugovzhodna Slovenija"",""2017 Osrednjeslovenska"",""2017 Gorenjska"",""2017 Primorsko-notranjska"",""2017 Goriška"",""2017 Obalno-kraška"",""2018 SLOVENIJA"",""2018 Pomurska"",""2018 Podravska"",""2018 Koroška"",""2018 Savinjska"",""2018 Zasavska"",""2018 Posavska"",""2018 Jugovzhodna Slovenija"",""2018 Osrednjeslovenska"",""2018 Gorenjska"",""2018 Primorsko-notranjska"",""2018 Goriška"",""2018 Obalno-kraška"",""2019 SLOVENIJA"",""2019 Pomurska"",""2019 Podravska"",""2019 Koroška"",""2019 Savinjska"",""2019 Zasavska"",""2019 Posavska"",""2019 Jugovzhodna Slovenija"",""2019 Osrednjeslovenska"",""2019 Gorenjska"",""2019 Primorsko-notranjska"",""2019 Goriška"",""2019 Obalno-kraška"""
Pšenica in pira,4.8,4.9,5.0,3.5,4.7,3.9,4.0,3.7,4.2,5.0,4.1,4.3,3.2,5.2,5.2,5.3,3.8,4.8,4.5,4.6,4.2,5.0,5.0,4.3,4.3,3.9,5.4,5.7,5.5,3.8,5.0,3.9,4.9,4.2,4.6,5.5,3.9,3.5,3.8,4.4,4.3,4.8,3.6,4.6,3.7,3.8,2.9,3.9,5.2,4.1,3.1,3.4,5.2,5.2,5.7,3.8,5.2,4.1,4.7,4.3,4.3,5.6,4.6,4.4,3.9,5.1,5.0,5.5,4.4,5.3,4.1,4.8,4.3,5.0,5.4,4.4,4.5,3.8,5.2,5.1,5.7,4.2,5.0,3.5,4.6,4.3,5.0,5.0,4.5,4.8,3.6,5.0,5.3,5.1,4.4,4.8,3.4,4.1,3.8,4.7,4.7,4.3,4.2,3.0,4.4,4.3,4.6,4.3,4.0,2.6,4.3,3.6,4.5,4.4,4.2,5.2,3.7,5.2,5.5,5.0,5.3,5.2,2.7,5.0,4.5,4.8,4.3,4.5,4.0,3.8
Jeèmen,4.3,4.4,4.6,3.1,3.9,3.5,3.9,3.5,4.4,4.7,4.0,3.7,2.9,4.5,4.8,4.8,3.3,4.1,3.5,4.2,3.8,4.5,4.7,4.2,4.3,3.5,4.7,5.2,4.9,3.3,4.0,3.0,4.5,3.7,4.5,4.9,3.9,3.6,3.1,4.0,3.9,4.7,3.3,4.3,3.1,3.8,2.7,3.8,4.7,4.1,2.6,3.2,4.9,4.9,5.2,3.6,4.7,3.5,4.5,4.0,4.6,5.9,4.2,3.6,3.6,4.6,4.5,4.9,4.0,4.6,3.3,4.6,3.9,4.8,5.6,4.3,4.3,3.4,4.8,4.6,5.3,4.0,4.7,2.8,4.6,4.1,4.9,5.3,4.3,4.2,3.2,4.8,5.1,5.2,4.1,4.3,2.8,3.9,3.6,4.9,5.6,4.2,3.7,2.9,4.2,4.1,4.5,4.1,3.9,2.2,4.2,3.5,4.3,4.6,4.4,4.4,3.4,4.8,5.6,4.6,5.0,4.1,2.3,4.7,4.0,4.8,4.8,4.6,4.4,3.5
Koruza za zrnje,8.5,9.1,8.7,7.5,6.9,3.9,7.6,7.4,6.8,8.7,7.3,8.8,6.5,8.7,9.6,9.0,7.8,6.3,4.1,5.6,8.1,7.4,9.3,7.0,8.4,6.2,7.1,7.5,7.4,7.5,7.2,3.3,5.5,6.3,6.4,7.7,3.9,2.5,2.8,5.4,5.6,5.8,4.0,4.4,2.8,4.4,4.9,5.2,5.4,5.5,2.8,3.9,9.1,9.2,9.4,7.6,8.1,4.3,9.0,9.1,8.1,8.9,7.2,9.4,6.1,9.0,9.0,9.4,7.3,7.9,5.0,8.9,8.7,7.1,9.5,7.4,7.7,5.7,9.5,10.0,9.4,8.6,8.0,4.8,9.8,10.0,7.0,9.4,7.3,6.3,4.6,7.1,7.6,7.4,7.3,5.2,3.9,5.4,5.9,6.3,9.0,5.1,6.6,4.2,9.5,9.4,10.0,9.2,7.1,4.6,9.6,10.0,6.8,9.6,8.0,9.0,6.4,9.3,9.9,9.2,8.7,6.6,4.7,9.8,8.8,6.7,8.7,7.9,5.1,5.7
Krompir,24.5,26.9,24.4,19.0,22.7,16.4,21.8,21.0,25.1,27.4,26.5,26.6,23.1,26.4,29.3,25.6,19.5,23.6,18.6,24.3,24.2,27.0,29.5,27.9,29.3,22.7,23.4,23.2,23.9,19.0,22.3,17.2,24.3,23.9,24.6,25.9,21.9,19.7,15.1,18.8,19.9,19.9,17.0,16.5,20.7,21.6,15.4,20.2,18.4,22.1,18.2,15.7,26.9,28.9,24.7,20.5,25.1,18.3,30.1,27.3,26.0,29.5,30.8,27.2,22.6,27.4,28.7,27.9,23.7,26.2,20.7,30.7,26.4,27.5,29.5,25.4,26.8,21.1,26.8,29.7,26.5,23.9,25.2,19.6,29.6,24.6,27.2,30.4,26.4,25.2,20.2,24.4,23.0,24.0,26.3,23.0,18.1,20.7,19.7,25.9,29.6,25.6,25.0,17.6,25.9,26.8,26.5,25.5,21.3,18.5,28.1,23.2,28.1,27.3,25.9,27.8,23.4,23.6,28.2,25.9,24.2,18.4,15.9,25.4,19.6,24.5,26.4,22.8,19.9,19.9
Buèe za olje,0.6,0.6,0.6,0.8,0.6,-,0.7,0.7,0.7,0.7,0.7,-,0.7,0.7,0.7,0.6,0.7,1.0,-,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.7,0.8,-,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.4,0.3,0.4,-,0.5,0.1,0.4,0.5,0.5,0.5,0.3,0.6,0.5,0.6,0.4,0.9,-,0.5,0.3,0.5,0.6,0.6,0.6,0.8,0.7,0.7,0.7,0.4,1.0,0.7,0.6,0.5,0.9,0.7,0.7,0.7,0.2,0.8,0.8,0.7,0.4,1.1,0.8,0.5,0.6,1.2,0.8,0.8,0.8,0.5,0.6,0.6,0.5,0.3,0.8,0.6,0.5,0.6,0.8,0.6,0.6,0.6,0.5,0.8,0.7,0.8,0.5,1.0,0.8,0.8,1.0,0.7,0.8,0.8,0.8,0.4,0.6,0.6,0.6,0.4,0.8,0.6,0.8,1.2,0.7,0.6,0.6,0.6,0.4
Oljna ogršèica in repica,2.9,3.0,2.9,2.8,3.2,-,2.3,2.4,3.0,4.2,-,2.8,-,2.9,2.9,3.1,0.2,3.1,-,2.7,2.4,3.4,2.5,-,2.7,-,3.2,3.3,3.3,3.1,2.7,-,3.0,2.0,3.6,3.3,3.1,3.1,3.7,2.5,2.0,3.2,0.9,2.7,2.2,2.5,2.3,3.7,3.6,-,2.2,3.9,3.6,3.4,4.0,0.9,3.6,-,3.1,3.4,3.9,3.9,-,-,-,2.2,1.8,2.5,2.1,2.9,-,2.7,3.0,3.4,3.0,-,2.1,3.2,2.7,2.9,2.6,2.8,2.3,-,2.7,2.5,1.6,2.0,-,2.8,1.8,2.6,2.4,3.2,2.6,2.5,2.7,2.2,2.6,2.0,2.6,-,2.6,2.3,2.3,2.0,2.8,2.2,2.1,-,2.5,2.8,2.0,3.0,2.3,2.2,2.4,2.9,3.1,2.7,-,3.0,-,2.7,2.9,2.0,3.0,2.9,3.0,2.4
Hmelj,1.4,-,0.4,1.9,1.4,-,-,-,-,-,-,-,-,1.6,-,1.6,2.1,1.5,-,-,-,-,-,-,-,-,1.2,-,1.1,1.7,1.1,-,-,-,-,-,-,-,-,1.1,-,1.2,1.6,0.9,-,-,-,-,-,-,-,-,1.8,-,1.3,2.1,1.7,-,-,-,-,-,-,-,-,1.5,-,0.7,2.0,1.4,-,-,-,-,-,-,-,-,1.7,-,1.6,1.9,1.6,-,-,-,1.7,-,-,-,-,1.4,-,1.0,1.9,1.3,-,-,-,-,-,-,-,-,1.8,-,0.9,2.3,1.9,-,-,-,-,-,-,-,-,1.6,-,1.4,1.9,1.5,-,-,-,-,-,-,-,-
Belo zelje,35.0,31.8,28.6,25.5,25.6,13.0,40.2,27.8,46.2,51.2,40.9,17.2,25.3,35.9,38.1,28.0,23.7,29.0,12.9,35.5,26.3,48.4,35.9,38.1,18.2,20.8,28.4,27.2,24.8,30.2,21.0,12.6,29.1,15.2,40.3,44.4,24.9,10.0,11.6,25.6,22.4,22.8,20.5,17.8,13.5,25.8,19.2,42.1,29.0,25.3,9.4,12.3,32.0,27.8,24.6,20.4,25.7,11.7,27.4,25.9,42.7,48.3,31.6,24.0,21.0,34.4,31.3,27.4,20.5,29.2,15.1,29.6,26.6,46.1,49.4,31.5,24.7,22.2,35.1,33.0,29.0,21.3,28.0,13.3,27.3,29.6,40.5,52.5,33.3,24.5,24.0,31.9,25.8,27.9,23.3,23.4,12.7,24.5,18.5,37.4,52.0,28.2,21.5,22.7,34.8,37.3,33.1,23.7,26.3,12.7,26.7,29.9,36.5,49.5,34.7,20.7,28.0,34.0,34.2,34.7,25.8,21.3,15.2,26.8,25.1,35.2,46.0,39.0,20.9,27.5
Grozdje,6.6,7.1,5.5,6.5,7.2,6.1,6.5,9.2,5.9,7.4,5.8,7.2,5.8,7.4,10.0,7.1,7.1,6.4,6.5,6.5,10.5,7.2,7.9,6.3,7.3,5.8,5.6,7.6,6.2,5.4,6.9,4.9,6.4,7.3,4.8,5.9,4.7,4.3,3.8,6.2,6.9,6.2,6.4,5.6,6.4,7.1,5.9,5.4,6.3,6.4,5.6,6.6,5.9,5.8,5.7,6.2,6.0,6.2,5.3,5.0,4.5,6.1,6.2,6.7,5.6,7.5,7.6,7.7,7.5,7.4,5.1,7.8,6.9,7.1,7.4,7.5,7.6,7.0,6.0,5.4,6.2,5.9,4.6,4.8,7.3,6.6,3.1,6.1,6.0,5.9,5.4,5.6,6.2,5.9,5.7,3.2,5.5,5.1,5.4,6.2,5.5,5.6,6.7,4.4,8.1,7.1,7.7,8.0,8.3,4.6,9.6,8.5,8.0,8.2,8.1,8.7,7.2,6.8,7.0,7.6,6.8,6.7,4.2,7.3,7.1,6.5,6.7,6.7,6.0,5.9
Jabolka v intenzivnih sadovnjakih,28.0,30.3,24.8,15.0,29.6,30.0,31.8,15.2,29.7,25.7,28.0,26.9,29.7,29.7,29.3,28.8,23.0,26.0,30.0,35.7,12.2,34.0,23.2,30.0,27.9,34.1,20.5,20.3,19.2,20.0,17.4,20.0,25.7,14.6,23.3,17.2,20.5,20.7,5.6,26.3,22.5,23.8,25.8,25.3,25.8,36.5,9.9,25.1,21.7,29.1,19.4,23.4,27.9,25.2,25.8,10.0,29.1,30.0,31.2,23.5,28.8,25.8,36.8,27.7,30.6,34.0,37.1,32.1,15.0,39.9,26.3,32.9,33.6,33.6,29.5,31.5,30.1,34.0,17.7,11.3,15.0,5.0,5.0,30.0,27.1,29.6,28.2,25.8,29.5,29.7,25.9,5.8,5.5,7.0,5.3,4.7,5.3,3.1,4.1,14.8,9.5,6.7,6.8,8.5,37.2,33.4,32.8,37.7,45.2,34.2,38.2,52.3,38.6,32.2,35.4,30.7,41.2,23.9,29.8,22.0,0.5,29.1,22.6,23.5,18.7,23.7,10.6,23.7,20.3,23.8
