Quantities and average prices of purchased agricultural products

"""2013 Quantity"",""2013 Average price (EUR)"",""2014 Quantity"",""2014 Average price (EUR)"",""2015 Quantity"",""2015 Average price (EUR)"",""2016 Quantity"",""2016 Average price (EUR)"",""2017 Quantity"",""2017 Average price (EUR)"",""2018 Quantity"",""2018 Average price (EUR)"",""2019 Quantity"",""2019 Average price (EUR)"",""2020 Quantity"",""2020 Average price (EUR)"""
Pšenica in pira,64573,180.97,82178,169.09,74420,168.33,50035,133.81,84367,153.97,45502,159.36,77415,163.19,84160,148.22
Jeèmen,5479,177.26,6429,153.31,10559,133.78,9810,132.95,14312,128.76,12479,142.37,18948,137.22,24883,125.41
Koruza za zrnje,42610,169.23,84358,125.28,83852,131.77,81658,130.61,79221,141.25,119771,146.93,128207,123.74,137233,124.95
Oljna ogršèica in repica,9246462,0.36,8957376,0.31,3594753,0.36,6451522,0.33,5414088,0.32,5329979,0.31,7924719,0.32,6761126,0.32
Hmelj,1127956,3.38,1327967,4.62,881918,5.62,1197720,6.61,1449230,6.20,1886832,6.85,1417523,7.54,1394082,7.21
Buèe za olje,115881,2.83,97334,3.38,191816,3.77,321398,2.96,346269,2.43,394142,1.99,87866,2.75,210338,2.78
Krompir,2385539,0.33,3132009,0.16,3919129,0.13,3277887,0.16,4301925,0.18,5875053,0.20,6514108,0.29,8633642,0.24
Belo zelje,1000133,0.31,1576220,0.24,1533331,0.25,1965166,0.24,2280072,0.25,2022006,0.30,2527083,0.35,2798678,0.28
Jabolka v intenzivnih sadovnjakih,13434780,0.58,19903796,0.41,21611825,0.46,17006379,0.49,5800976,0.63,11672576,0.39,17221816,0.49,20054400,0.56
Breskve in nektarine v intenzivnih sadovnjakih,125907,1.05,141162,0.80,157207,0.74,164808,0.75,102915,0.89,131316,0.89,197648,0.82,61096,1.14
Grozdje,15233492,0.46,14393936,0.46,15287724,0.50,12309570,0.55,17004972,0.60,24553240,0.57,16981068,0.60,15917931,0.49
